Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.9,-72.7,90.0,top
C10,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.7,-97.0,180.0,bottom
C11,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,129.9675,-95.7,0.0,bottom
C12,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.8325,-100.1,0.0,top
C13,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,128.7,-97.4,0.0,bottom
C14,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.9,-71.2625,270.0,bottom
C15,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.1,-95.4,180.0,top
C16,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.9,-85.4675,270.0,bottom
C17,30pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.3,-104.0,-90.0,top
C18,30pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,129.8,-104.8,90.0,top
C19,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,135.2325,-90.8,180.0,top
C2,220p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,131.2325,-78.8,0.0,top
C20,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,139.6325,-103.8,0.0,top
C21,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,112.3,-78.7,0.0,top
C3,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.1,-80.5,180.0,top
C4,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.2,-85.8,0.0,top
C5,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,138.4675,-93.5,0.0,top
C6,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,137.9325,-92.1,0.0,top
C7,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.8325,-101.4,180.0,top
C8,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134.1325,-88.7,0.0,top
C9,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.7,-90.3,0.0,bottom
D1,SS34,D_SMA,130.5,-72.8,90.0,top
D2,PRTR5V0U2X,SOT-143,124.8,-71.5,270.0,bottom
D3,RED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.5,-99.7,180.0,top
